sample	trt	stress	time
CN01	ck	no_heat	0
CN02	ck	no_heat	0
CN03	ck	no_heat	0
CN81	ck	no_heat	8
CN82	ck	no_heat	8
CN83	ck	no_heat	8
CN161	ck	no_heat	16
CN162	ck	no_heat	16
CN163	ck	no_heat	16
CN241	ck	no_heat	24
CN242	ck	no_heat	24
CN243	ck	no_heat	24
CY01	ck	heat	0
CY02	ck	heat	0
CY81	ck	heat	8
CY82	ck	heat	8
CY83	ck	heat	8
CY161	ck	heat	16
CY162	ck	heat	16
CY163	ck	heat	16
CY241	ck	heat	24
CY242	ck	heat	24
CY243	ck	heat	24
SN01	ss	no_heat	0
SN02	ss	no_heat	0
SN03	ss	no_heat	0
SN81	ss	no_heat	8
SN82	ss	no_heat	8
SN83	ss	no_heat	8
SN161	ss	no_heat	16
SN162	ss	no_heat	16
SN163	ss	no_heat	16
SN241	ss	no_heat	24
SN242	ss	no_heat	24
SN243	ss	no_heat	24
SY01	ss	heat	0
SY02	ss	heat	0
SY03	ss	heat	0
SY81	ss	heat	8
SY82	ss	heat	8
SY83	ss	heat	8
SY161	ss	heat	16
SY162	ss	heat	16
SY163	ss	heat	16
SY241	ss	heat	24
SY242	ss	heat	24
SY243	ss	heat	24
